SUBJECT 10
  sensor        std     range
      16   19.811    154.275
      17   27.361    202.02
      18   51.2604   378
      19   20.1643   158.76
      20   17.4045   138.118
      21    8.02707   77.8875

SUBJECT 13
  sensor        std     range
--------  ---------  --------
       0    8.65451   64.6757
       1    3.50425   28.9293
       2    4.6543    43.2965
       3   13.9013   146.478
       4   12.4797    87.6363
       5  nan        nan
       6   16.4551   107.212
       7   15.832     92.3982
       8   14.9529    97.5084
       9    9.52856   63.0526
      10    3.98767   39.432
      11   30.2806   211.671
      12    1.86211   13.9704
      13   28.1917   136.504
      14   12.4288    91.4955
      15   16.1669   124.695
      16   21.4317   164.987
      17   21.2191   165.62
      18   29.3635   259.507
      19   13.0506   115.92
      20   16.9028   127.694
      21    9.1496    65.2003

SUBJECT 8
  sensor        std     range
--------  ---------  --------
       0    9.28836   69.7645
       1    3.93225   26.4772
       2    7.93854   57.8933
       3   14.57     157.969
       4   16.5356   129.629
       5  nan        nan
       6   16.6125   126.292
       7   15.8101   100.028
       8   12.7268   144.655
       9    9.81238   70.7746
      10    6.61185   61.2262
      11   19.2659   192.578
      12    2.0644    16.8216
      13   27.8071   164.232
      14   14.9447   107.026
      15    5.11086   65.9385
      16   14.6242   147.96
      17   20.887    174.72
      18   36.6376   282
      19   17.0486   124.74
      20   18.2522   147.624
      21    6.19504   90.901

SUBJECT 17
  sensor        std     range
--------  ---------  --------
       0   10.9696    88.6299
       1    4.03355   32.5228
       2    6.89781   67.4751
       3   21.0941   168.978
       4   15.1141    93.1135
       5  nan        nan
       6   24.0222   152.64
       7   18.5158   115.245
       8   13.7475    92.1508
       9   10.224     65.9627
      10    5.40627   32.9495
      11   31.4692   257.296
      12    1.86846   12.83
      13   26.2324   171.697
      14   12.1995    97.2912
      15   14.5274   103.363
      16   23.6818   209.478
      17   23.8891   203.84
      18   42.5249   325.792
      19   15.6429   123.48
      20   16.5642   110.257
      21    9.52362   73.2623

SUBJECT 7
  sensor        std     range
--------  ---------  --------
       0    8.68182   74.9318
       1    5.48836   32.1681
       2    4.93851   68.5997
       3   17.2957   133.355
       4   14.9011   122.326
       5  nan        nan
       6   21.6639   133.56
       7   18.307    105.624
       8   13.538    125.368
       9   10.4387    75.6631
      10    6.80845   47.4966
      11   28.7272   175.214
      12    2.21917   16.8216
      13   29.555    162.099
      14   14.5724   113.158
      15   14.7552   139.896
      16   23.9389   159.31
      17   18.2814   203.84
      18   41.3969   405.891
      19   11.3509   113.186
      20   20.565    154.775
      21   10.4981    86.2444

SUBJECT 22
  sensor        std     range
--------  ---------  --------
       0   10.2665    77.5512
       1    4.56596   29.879
       2    7.86397   53.3611
       3   11.497    116.706
       4   15.6078   110.458
       5  nan        nan
       6   20.6953   169.903
       7   18.4096   140.037
       8   10.3682   120.01
       9   15.4216    98.9441
      10    3.81885   32.6465
      11   18.0698   168.9
      12    2.16446   22.8089
      13   26.2893   198.268
      14    8.01222   63.1411
      15    4.30512   52.5726
      16   13.2892   205.2
      17   20.4117   194.74
      18   33.8833   274
      19   15.8088    99.54
      20   17.7025   181.467
      21    6.11076   48.1047

